datetime,open,high,low,close,Currency pair,interval,currency_base,currency_qoute, type
27-08-2021 03:00,,1.1756,1.1752,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:55,1.1756,1.1756,,1.17525,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:50,1.1756,1.1757,1.17555,1.17555,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:45,,1.1757,1.17555,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:40,1.17565,1.1757,1.17555,1.1757,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:35,1.1757,1.1758,1.17565,1.17565,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:30,,1.1758,1.17555,1.1758,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:25,1.17535,1.1756,1.17535,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:20,1.17515,1.1754,,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:15,1.1752,1.1753,1.17515,1.1752,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:10,1.17535,1.17545,1.17525,1.17525,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:05,,1.1755,1.17535,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:00,1.17495,,,1.17535,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:55,1.17495,1.17505,1.17495,1.17495,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:50,1.17505,1.1751,1.175,1.175,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:45,1.1749,1.1751,1.1749,1.17505,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:40,1.17505,1.17505,,1.17495,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:35,,1.175,1.1748,1.175,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:30,1.17465,1.17485,1.1746,1.17485,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:25,1.1746,1.17475,1.17455,1.17465,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:20,1.1747,1.17485,1.17455,1.17455,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:15,,1.17475,1.17455,1.1747,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:10,,1.1747,,1.1746,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:05,,1.17445,1.17435,1.17435,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:00,,1.1747,,1.1744,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 00:55,,1.1746,1.1743,1.1746,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 00:50,,1.1746,1.17435,1.17435,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:58,,1.1772,1.17705,1.17705,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:57,,1.17725,1.17695,1.17695,EUR/USD,1min,Euro,US Dollar,Physical
